SK_ID_CURR,TARGET
333538,0
259130,0
266655,0
305500,0
108004,0
297510,1
173482,0
426595,0
221321,0
434674,0
183461,0
256582,0
121974,0
342939,0
326267,0
341866,0
338742,0
417294,0
358170,0
244847,0
455478,0
192305,0
426295,0
330252,0
182703,0
279928,0
354947,0
164498,1
340527,0
249908,1
425135,0
371768,1
155625,0
213853,0
180905,0
437112,0
179136,0
421482,0
157450,0
330826,0
388766,0
121982,0
214283,0
308791,0
344412,0
129772,0
224178,0
201198,0
455527,0
173790,0
426799,0
400346,0
290491,0
418995,0
260749,0
129194,0
355815,0
401128,0
227657,0
128935,0
443400,0
321287,0
323425,0
310645,0
167887,0
261444,0
322790,0
366123,0
318179,0
344849,0
422454,0
451962,0
169131,0
427444,0
217463,1
151575,0
209554,0
385822,0
265278,0
332415,0
429607,0
371852,0
328396,0
180714,0
308908,0
108915,0
297844,0
253115,0
277629,0
416539,0
431226,0
356349,0
422135,0
295235,0
178544,0
218635,0
189232,0
127386,0
255756,0
448976,0
239503,0
283526,0
180288,0
282010,0
104667,0
381573,0
364052,0
337973,0
350496,0
415150,0
144711,0
260001,0
412421,0
188916,0
315052,0
339686,0
157311,0
447316,0
360315,0
438216,0
268477,0
390301,0
401108,0
271693,0
367634,1
359720,0
120492,0
208875,0
124202,0
399496,0
442348,0
419119,0
449171,0
338191,1
218404,1
273959,0
307400,0
377672,0
304878,0
219549,0
258701,0
340616,0
227443,0
375053,0
333214,0
444253,0
426634,0
271309,0
148506,0
426772,1
142839,0
155641,0
342509,0
215806,1
188727,0
214248,0
216693,0
106226,0
404999,0
202255,0
134614,0
138267,0
448220,0
238251,0
442768,0
232298,1
189960,0
112263,0
278974,0
416768,0
117320,0
382257,0
448153,0
233615,0
366829,0
335528,0
253300,0
397696,0
240496,0
375132,0
170049,0
377386,0
108149,0
361781,0
302876,0
115032,0
276281,0
315828,0
289390,0
424049,0
216498,1
100926,0
267017,0
441064,0
225287,0
322935,0
123001,0
250316,0
188927,0
381982,0
199868,0
388038,0
406013,0
417341,0
114261,0
277781,0
263225,0
327138,0
102318,0
263454,0
197608,0
347049,0
168818,0
100122,0
404975,0
451997,0
273531,1
388656,0
168808,0
118655,0
115880,0
272906,0
286242,0
158440,0
348260,0
197944,0
189566,1
394198,0
383702,1
226077,0
422255,0
220030,0
183582,0
311339,0
381928,0
434101,0
168537,0
418043,0
305012,1
261782,0
355927,0
430940,0
381732,0
421880,0
128843,0
290550,0
158035,0
178594,0
167343,0
393051,0
192089,0
436269,0
165174,0
375614,0
188497,0
437861,0
415376,0
289223,0
209128,0
397302,0
348781,0
148929,0
248672,0
164219,0
233236,0
408295,0
199938,0
454818,0
282096,0
416927,0
162458,0
100621,0
359865,0
278568,0
265471,0
122330,0
273132,0
177843,0
252062,0
360357,0
223815,0
438622,1
201659,0
392977,0
403658,0
106486,0
445391,0
393255,0
411729,0
395648,0
120386,0
158521,0
398005,0
174718,0
454154,0
384525,0
421447,0
190035,0
279204,1
171957,1
417025,0
307750,0
254603,0
349610,0
232184,0
122010,0
396996,0
254547,1
397829,0
415327,0
110543,0
142687,0
292002,0
226071,0
204597,0
417801,0
119650,0
302559,0
230340,0
337048,0
273285,0
217641,0
111926,0
290678,0
157800,0
334433,0
444149,0
198124,0
351508,0
435852,1
197544,0
361802,0
178057,0
176056,0
174580,0
140340,0
115704,0
286478,0
266936,0
260595,0
446644,0
147108,0
403354,0
190708,0
398981,0
408562,0
432596,0
399199,0
284044,0
392376,0
104225,0
290993,1
200070,0
256910,0
417205,0
236587,0
195783,0
202551,0
135231,0
159416,0
417654,0
390466,0
141565,0
292345,0
398503,0
441895,0
145273,0
243480,0
161591,0
255972,0
339301,0
327293,0
274382,0
160058,0
217891,0
206242,0
436315,0
353581,0
310188,0
221365,0
442144,0
255395,0
161641,0
296918,0
172236,0
129414,0
255938,0
424426,0
366485,0
397298,0
433331,0
190317,0
141784,0
433888,0
435758,0
100419,0
168353,1
416670,0
330414,0
447926,0
395024,0
341455,0
241262,0
258954,0
394688,1
135404,0
453087,0
155799,0
330336,0
140613,0
304017,0
161879,0
157176,0
301302,0
290067,1
263835,0
107392,0
330130,0
224309,0
406991,0
118095,0
415451,0
148081,0
324904,0
294067,0
432571,0
220579,0
347741,0
332710,0
141104,0
398019,1
427188,0
170638,0
383834,1
447658,0
181311,1
133425,0
200348,0
435283,0
334188,1
160910,0
150584,1
412701,0
203211,0
242889,0
174870,0
317331,0
100773,0
412037,0
435399,1
297317,0
291323,0
401295,0
167653,0
363072,0
355725,0
384313,0
388152,0
423238,0
398905,0
455559,0
232186,0
355171,0
439640,0
177099,0
282629,0
379874,0
124078,0
238281,0
430983,0
331781,0
112536,0
437606,0
326633,0
205573,0
338983,0
375392,0
278075,0
299907,1
150925,0
164636,0
419584,0
221066,0
288007,0
102394,0
234626,0
383721,0
377377,0
304871,0
450327,0
387870,0
317172,0
259588,0
381837,0
112903,0
292758,0
173596,0
339209,0
446753,0
242794,0
436822,0
346463,0
309863,0
279337,0
369793,0
142286,1
278490,0
323609,0
287020,0
238985,0
164660,0
360221,1
126454,0
326525,0
429246,0
155973,0
382202,0
253665,0
382398,0
281162,0
434103,0
111878,0
200573,0
396163,0
423905,0
382349,0
197511,0
204705,0
142859,0
266342,0
308090,0
331601,1
121473,0
427993,0
312337,0
140584,1
315726,0
257951,0
197282,0
328197,0
410401,0
179385,0
118552,0
246666,0
158130,0
107305,0
199400,0
114839,0
326064,0
175678,1
326902,0
100056,0
166329,0
449813,0
349609,0
407250,0
139042,0
429369,0
112746,0
131270,0
344881,0
393237,0
394048,0
100914,0
311964,0
452857,0
168584,0
353345,0
269061,0
336285,0
411214,1
227838,0
210290,1
281235,0
212185,0
195014,0
262967,0
215661,0
399609,0
394749,0
129836,0
307094,0
412062,0
355377,0
187629,0
365350,0
272750,0
444977,0
158195,0
427478,0
172394,1
311717,0
330448,0
177217,0
228090,0
130111,0
305126,0
416266,0
370592,0
208366,1
236103,0
194962,0
300102,1
433474,0
365906,0
160850,0
191420,1
349687,0
242811,0
252551,0
267144,0
197402,0
200889,0
413715,1
276982,0
407190,1
345178,0
289382,0
330295,0
364469,1
401323,0
220007,0
200003,0
142645,0
296208,0
193063,0
370564,0
443837,0
368359,0
303673,0
428059,0
408297,0
233260,0
290769,0
108600,0
349423,0
274020,0
133978,1
172688,0
352686,0
158782,0
192154,0
326830,0
404251,0
363092,0
150761,0
274935,0
164563,0
187223,0
105420,0
262587,0
148431,0
362692,0
325453,0
223222,0
315991,0
380765,0
371938,0
192435,0
411916,0
107851,0
173508,1
171835,0
179628,0
264384,0
243765,0
163930,0
297350,0
352362,0
389749,0
319667,0
402900,0
325690,0
324341,0
249918,0
323843,0
373965,0
112432,0
446390,0
123240,0
103796,0
100236,0
244013,0
174046,1
236262,0
362039,0
196787,0
373579,0
271744,0
443799,0
364132,0
249936,0
167787,0
114928,0
173716,0
388997,0
264130,1
328148,0
247247,0
239533,0
335037,0
386859,1
202738,0
116111,0
260271,0
272905,0
242711,0
215937,0
375867,0
301359,1
129026,0
237608,0
399242,0
143895,0
189312,0
385529,0
229825,0
324901,0
107608,0
411700,0
235195,0
316514,0
336478,0
331050,0
443202,0
412441,0
150441,0
370725,0
159438,0
352845,0
437987,0
125949,0
105179,0
419897,0
117180,0
150464,0
307732,0
343242,1
359832,0
422634,0
228318,0
389153,0
365057,0
281742,0
238354,0
153650,0
156812,0
133141,0
342179,0
346933,0
326152,0
411181,0
138567,0
359779,0
364958,1
241565,0
196658,0
410271,0
106636,0
212095,0
385438,0
419214,0
189626,0
253049,0
304567,0
249047,0
148305,0
405644,0
238228,0
281983,1
412297,0
223761,0
390393,0
351953,0
346129,0
382208,0
118206,0
454011,0
230732,0
381694,0
138456,0
374194,0
221653,0
306431,0
231945,1
371941,0
297751,0
160677,0
359265,0
351560,1
367408,0
334098,0
297391,0
101824,0
391319,0
314685,0
388293,0
112798,0
244596,0
430932,0
173151,0
353798,0
362599,1
442371,0
372018,0
407895,0
101915,0
441460,0
454668,1
222027,0
435242,0
362773,0
197751,0
117486,0
398578,0
165013,0
361631,0
137248,0
269248,0
348120,0
373187,0
122651,1
333050,0
136600,0
111296,0
394128,1
148825,0
286086,0
156185,0
399933,0
344030,0
136448,0
270587,0
285163,0
263466,0
158476,0
290401,0
418239,0
441258,0
436945,0
295596,1
338376,0
280046,0
341360,0
347395,0
379168,0
238881,0
339025,0
191637,0
448328,0
177074,0
123382,0
305702,0
316877,0
369942,0
187960,0
444757,0
