ChiPy,species,length,weight,career,meetups_attended,spotted,coding_enjoyment,chicago,typing_speed
0,Neotamias minimus,2.850178285537928,38.332188742107796,Software Engineer,1.0,0,5.5796486331009465,1,79
1,neotamias,4.287282771777223,42.813465768825615,Free Thinker,1.0,0,5.660008930425115,1,91
0,Eutamias sibiricus,7.3992658556250355,49.10601182889127,Therapy Chipmunk,1.0,0,6.186867519248221,1,109
0,neotamias,3.183128259970921,43.644131770039394,Sagebrush Farmer,,1,4.452700424643974,1,49
0,neotamias,3.1063803759129325,45.76249182712018,Therapy Chipmunk,,1,4.022483245241126,1,68
0,Neotamias minimus,3.906771129602892,47.21578426567563,Data Scientist,1.0,1,7.215130646617246,1,121
0,neotamias,4.331925721901782,38.65018916696803,Data Storyteller,,1,3.4852830269396637,1,90
1,Neotamias minimus,4.015281845553155,39.324170213005885,Free Thinker,2.0,0,8.106863589260358,1,94
0,amias striatus,5.181613071913244,46.524700892661755,Therapy Chipmunk,1.0,0,4.061651601075985,1,57
0,amias striatus,5.972450675125229,47.32643555676845,Web Developer,,1,7.468495630854946,1,94
0,Neotamias minimus,3.769172736015708,37.849993065581764,Data Storyteller,1.0,0,3.9059514979806798,1,119
1,amias striatus,3.7207520204096634,45.532504546896206,Aspiring Dev on Medium,2.0,0,6.860555293591551,1,80
1,Eutamias sibiricus,5.93667849999917,46.78247617667642,Aspiring Dev on Medium,1.0,0,7.600787715668438,1,55
0,neotamias,3.778426302499586,41.22773446494696,Web Developer,1.0,0,4.80276471271888,1,117
0,Eutamias sibiricus,5.021810050070738,48.48091679578088,Sagebrush Farmer,,0,4.1760602617739435,1,139
0,neotamias,3.8560246676340926,43.5389826356729,Data Storyteller,1.0,0,1.4335570374324051,1,103
0,amias striatus,6.7652876385781155,44.237175221367565,Therapy Chipmunk,1.0,0,4.753384695990406,1,54
0,Eutamias sibiricus,7.065049365651002,50.064035169193374,Data Storyteller,,0,2.978756472842904,1,74
0,amias striatus,9.149386353860669,53.699336412525255,Sagebrush Farmer,1.0,1,5.509160865287122,1,129
0,neotamias,3.8276785769360298,45.258203904744036,Software Engineer,,1,7.211277020082224,1,73
0,Neotamias minimus,3.684357427190813,41.74936162197967,Free Thinker,1.0,0,0.5716525336526903,1,103
0,Neotamias minimus,3.6312603311855627,40.944503173259015,Web Developer,,1,4.18616603199944,1,90
0,Eutamias sibiricus,6.16162471198198,46.27819966139763,Sagebrush Farmer,1.0,0,5.904646465929963,1,63
0,amias striatus,5.78429622459939,56.22906408693125,Software Engineer,1.0,0,0.6333021631404447,1,131
0,amias striatus,5.58895226429471,52.09424756296314,Data Storyteller,1.0,1,7.672530720844463,1,116
0,Eutamias sibiricus,4.7750183057369116,54.225380401058636,Data Storyteller,1.0,1,5.759784073606967,1,108
0,Neotamias minimus,3.5812220616301436,42.500801374420845,Sagebrush Farmer,,1,7.1664256438638025,1,66
0,neotamias,3.373810623339997,39.24402842462092,Therapy Chipmunk,,0,3.8721042737771416,1,52
0,Eutamias sibiricus,5.8031562333058035,47.30287832920624,Data Storyteller,,0,4.1133584594476185,1,100
0,neotamias,3.515797476939968,48.89547778159275,Therapy Chipmunk,,1,4.678127290401861,1,97
0,Neotamias minimus,3.0921129557413845,36.69471861051041,Therapy Chipmunk,,0,9.276418095103079,1,61
0,amias striatus,4.8608858038283325,53.50355343097313,Free Thinker,,0,7.636210720994133,1,48
0,Neotamias minimus,3.5704981119615753,42.60964391035589,Therapy Chipmunk,,1,5.264695399017494,1,50
1,Eutamias sibiricus,5.550417241224782,45.52307100837922,Data Scientist,2.0,1,5.452126538976914,1,161
1,amias striatus,7.258608736681232,53.65001475342969,Free Thinker,3.0,1,6.617574041867004,1,132
1,Eutamias sibiricus,3.8037744767118133,50.704541293153476,Software Engineer,1.0,0,7.004580139345484,1,154
